rowID,stamp,datetime,hum,newhum,co2
104998,1497825306,2017/6/18 22:35,62.2,37.8,34.8
105999,1497825307,2017/6/18 22:35,62.2,37.8,34.8
106998,1497825308,2017/6/18 22:35,62.3,37.7,34.7
107999,1497825309,2017/6/18 22:35,62.3,37.7,34.7
108999,1497825310,2017/6/18 22:35,62.3,37.7,34.7
109999,1497825311,2017/6/18 22:35,62.3,37.7,34.7
110999,1497825312,2017/6/18 22:35,62.4,37.6,34.6
111998,1497825313,2017/6/18 22:35,62.4,37.6,34.6
112999,1497825314,2017/6/18 22:35,62.4,37.6,34.6
113999,1497825315,2017/6/18 22:35,62.4,37.6,34.6
115000,1497825316,2017/6/18 22:35,62.4,37.6,34.6
115999,1497825317,2017/6/18 22:35,62.4,37.6,34.6
116999,1497825318,2017/6/18 22:35,62.4,37.6,34.6
117999,1497825319,2017/6/18 22:35,62.5,37.5,34.5
119000,1497825320,2017/6/18 22:35,62.5,37.5,34.5
119999,1497825321,2017/6/18 22:35,62.5,37.5,34.5
120998,1497825322,2017/6/18 22:35,62.5,37.5,34.5
122000,1497825323,2017/6/18 22:35,62.5,37.5,34.5
122999,1497825324,2017/6/18 22:35,62.4,37.6,34.6
124000,1497825325,2017/6/18 22:35,62.4,37.6,34.6
124998,1497825326,2017/6/18 22:35,62.6,37.4,34.4
125999,1497825327,2017/6/18 22:35,62.6,37.4,34.4
126999,1497825328,2017/6/18 22:35,62.6,37.4,34.4
127998,1497825329,2017/6/18 22:35,62.6,37.4,34.4
129000,1497825330,2017/6/18 22:35,62.7,37.3,34.3
129999,1497825331,2017/6/18 22:35,62.7,37.3,34.3
131000,1497825332,2017/6/18 22:35,62.6,37.4,34.4
132000,1497825333,2017/6/18 22:35,62.6,37.4,34.4
132999,1497825334,2017/6/18 22:35,62.6,37.4,34.4
133999,1497825335,2017/6/18 22:35,62.7,37.3,34.3
134999,1497825336,2017/6/18 22:35,62.7,37.3,34.3
135999,1497825337,2017/6/18 22:35,62.8,37.2,34.2
136998,1497825338,2017/6/18 22:35,62.8,37.2,34.2
138000,1497825339,2017/6/18 22:35,62.8,37.2,34.2
138999,1497825340,2017/6/18 22:35,62.8,37.2,34.2
139999,1497825341,2017/6/18 22:35,62.8,37.2,34.2
140999,1497825342,2017/6/18 22:35,62.8,37.2,34.2
142000,1497825343,2017/6/18 22:35,62.8,37.2,34.2
142999,1497825344,2017/6/18 22:35,62.8,37.2,34.2
143998,1497825345,2017/6/18 22:35,62.8,37.2,34.2
144999,1497825346,2017/6/18 22:35,62.8,37.2,34.2
145999,1497825347,2017/6/18 22:35,62.8,37.2,34.2
147000,1497825348,2017/6/18 22:35,62.9,37.1,34.1
148000,1497825349,2017/6/18 22:35,62.9,37.1,34.1
148999,1497825350,2017/6/18 22:35,62.9,37.1,34.1
149999,1497825351,2017/6/18 22:35,62.9,37.1,34.1
150999,1497825352,2017/6/18 22:35,62.9,37.1,34.1
152000,1497825353,2017/6/18 22:35,62.9,37.1,34.1
152998,1497825354,2017/6/18 22:35,62.9,37.1,34.1
153999,1497825355,2017/6/18 22:35,62.9,37.1,34.1
154999,1497825356,2017/6/18 22:35,62.9,37.1,34.1
156000,1497825357,2017/6/18 22:35,62.9,37.1,34.1
156998,1497825358,2017/6/18 22:35,62.9,37.1,34.1
158000,1497825359,2017/6/18 22:35,63,37,34
158999,1497825360,2017/6/18 22:36,63,37,34
159998,1497825361,2017/6/18 22:36,63.1,36.9,33.9
160999,1497825362,2017/6/18 22:36,63.1,36.9,33.9
161999,1497825363,2017/6/18 22:36,63.1,36.9,33.9
162999,1497825364,2017/6/18 22:36,63.1,36.9,33.9
163998,1497825365,2017/6/18 22:36,63.1,36.9,33.9
165000,1497825366,2017/6/18 22:36,63.2,36.8,33.8
165999,1497825367,2017/6/18 22:36,63.2,36.8,33.8
166999,1497825368,2017/6/18 22:36,63.2,36.8,33.8
167999,1497825369,2017/6/18 22:36,63.2,36.8,33.8
168999,1497825370,2017/6/18 22:36,63.2,36.8,33.8
169999,1497825371,2017/6/18 22:36,63.2,36.8,33.8
170999,1497825372,2017/6/18 22:36,63.2,36.8,33.8
171999,1497825373,2017/6/18 22:36,63.2,36.8,33.8
